Institute,Keywords,Project,Geographic Reach,Funding Amount,3 year savings,Summary,Category,Stage,Model,url,Unique ID
Suttercare Corporation,"Health Care Innovation Awards, HCIA, California, CA, Medicare, chronic disease management, patient centered medical home, home-based care, self-management, ER, hospitalizations, pharmacist, nurses, social workers, Suttercare Corporation, CMS Region 9",Advanced Illness Management (AIM),California,"13,000,000.00","29,388,894.00","Sutter Health is receiving an award to expand their Advanced Illness  Management program (AIM) across the entire Sutter Health system in Northern California, serving patients who have severe chronic illness but are not ready for hospice care, are in clinical, functional, or nutritional decline, and are high-level consumers of health care. Such patients generally experience poor care quality, but account for a disproportionate share of Medicare spending. AIM addresses these issues through a complex medical home model that uses nurse-led interdisciplinary teams to coordinate and deliver care that encourages patient self-management of chronic illness that modifies disease course and provides symptomatic relief. The goals of the program are to improve care and patient quality of life, increase physician, caregiver, and patient satisfaction, and reduce Medicare costs associated with avoidable hospital stays, emergency room visits, and days spent in intensive care units and skilled nursing facilities.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards/Suttercare-Corporation.html,2
Ben Archer Health Center,"Health Care Innovation Awards, HCIA, New Mexico, NM, chronic disease, diabetes, homebound, seniors, children, medically underserved, patient navigation, medication management, preventive care, home safety assessments, home visits, community health workers, nurses, Ben Archer Health Center, CMS Region 6","A home visitation program for rural populations in Northern Dona Ana County, New Mexico",New Mexico,"1,270,845.00","6,325,888.00","Ben Archer Health Center in southern New Mexico has implemented an innovative home visitation program for individuals diagnosed with chronic disease, persons at risk of developing diabetes, vulnerable seniors, and homebound individuals, as well as young children and hard to reach county residents. Ben Archer Health Center provides primary health, dental, and behavioral health care to rural Doña Ana County, a medically underserved and health professional shortage area. The Ben Archer Health Center's Health Care Innovation Award uses nurse health educators and community health workers to bridge the gap between patients and medical providers, aid patient navigation of the health care system, and offer services including case management, medication management, chronic disease management, preventive care, home safety assessments, and health education, thereby preventing the onset and progression of diseases and reducing complications. Project staff provides diabetes and asthma management classes for patients and families. The project implements a culturally-appropriate, immunization methodology utilizing door-to-door outreach campaigns. The staff connects individuals with primary care homes to decrease the cost of complications caused by disease in the predominately Hispanic population.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards/Ben-Archer-Health-Center.html,3
"Finity Communications, Inc.","Health Care Innovation Awards, HCIA, Pennsylvania, PA, health information technology, HIT, are management, prevention, wellness education, Finity Communications Inc., CMS Region 3",EveryBODY Get Healthy,Pennsylvania,"4,967,962.00","8,200,000.00","The Finity Communications, Inc. model is designed to improve health care for over 120,000 high-need Medicaid beneficiaries in the Greater Philadelphia area. The innovation uses health analytics technology to track risk criteria and update integrated health profiles, and to deploy targeted alerts, outreach, wellness, and support services in a closed-loop environment that evolves with successful behavioral change. The innovation includes providing Peer Mentors to support ongoing engagement and healthy behavioral change. This integrated approach to health care is expected to reduce the gaps in care and lead to improved health care, better health, and reduced costs for individuals with diabetes, heart disease, hypertension, asthma, and high-risk pregnancy.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards/Finity-Communications-Inc.html,33
The Trustees of the University of Pennsylvania,"Health Care Innovation Awards, HCIA, Delaware, DE, New Jersey, NJ, New York, NY, Pennsylvania, PA, medication adherence, acute myocardial infarctions, hospitalizations, telehealth, social workers, nurses, project director, social workers, The Trustees of the University of Pennsylvania, CMS Region 3, CMS Region 2",A rapid cycle approach to improving medication adherence through incentives and remote monitoring for coronary artery disease patients,"Delaware, New Jersey, New York, Pennsylvania","4,841,221.00","2,787,030.00","The University of Pennsylvania received an award for a program to improve medication adherence and health outcomes in patients who have recently been discharged from the hospital with acute myocardial infarction.  Such patients typically have high rates of poor medication adherence and hospital readmissions and are costly to monitor through intensive case management. The intervention will increase medication adherence through remote monitoring, medication reminders, incentives, and support from family and friends. It will also retrain social workers as engagement advisors to provide additional support as needed. The result will be improved health outcomes and lower cost. The investments made by this grant are expected to generate cost savings beyond the three year grant period. Over a three-year period, University of Pennsylvania’s program will train an estimated 21 workers, while creating an estimated seven jobs for investigators, clinical social workers, a software developer, project coordinators, and a project director.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards/The-Trustees-Of-The-University-Of-Pennsylvania.html,4
Institute for Clinical Systems Improvements,"Health Care Innovation Awards, HCIA, California, CA, Colorado, CO, Massachusetts, MA, Michigan, MI, Minnesota, MN, Pennsylvania, PA, Washington, WA, Wisconsin, WI, depression, diabetes, cardiovascular disease, Medicare, Medicaid, self-management, care managers, care management, Institute for Clinical Systems Improvements, CMS Region 9, CMS Region 8, CMS Region 1, CMS Region 5, CMS Region 3, CMS Region 10",Care management of mental and physical co-morbidities: a TripleAim bulls-eye,"California, Colorado, Massachusetts, Michigan, Minnesota, Pennsylvania, Washington, Wisconsin","17,999,635.00","27,693,046.00","The Institute for Clinical Systems Improvement (ICSI) of Bloomington, Minnesota received an award to improve care delivery and outcomes for high-risk adult patients with Medicare or Medicaid coverage who have depression plus diabetes or cardiovascular disease. The program will use care managers and health care teams to assess condition severity, monitor care through a computerized registry, provide relapse and exacerbation prevention, intensify or change treatment as warranted, and transition beneficiaries to self-management. The partnering care systems include clinics in ICSI, Mayo Clinic Health System, Kaiser Permanente in Colorado and Southern California, Community Health Plan of Washington, Pittsburgh Regional Health Initiative, Michigan Center for Clinical Systems Improvement, and Mount Auburn Cambridge Independent Practice Association with support from HealthPartners Research Foundation and AIMS (Advancing Integrated Mental Health Solutions). Over a three-year period, ICSI and its partners will train the approximately 80+ care managers needed for this new model.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards/Institute-For-Clinical-Systems-Improvement.html,14
Center for Health Care Services,"Health Care Innovation Awards, HCIA, Texas, TX, behavioral care, mental illness, substance abuse, chronic disease, health clinics, primary care, Medicaid, hospital admissions, homeless, ER, Center for Health Care Services, CMS Region 6",A recovery-oriented approach to integrated behavioral and physical health care for a high-risk population,Texas,"4,557,969.00","5,000,000.00","The Center for Health Care Services in San Antonio, Texas, received an award to integrate behavioral, mental, and primary health care for a group of approximately 260 homeless adults in San Antonio with severe mental illness or co-occurring mental illness and substance abuse disorders, at risk for chronic physical diseases. Their intervention will integrate health care into existing behavioral health clinics, using a multi-disciplinary care team to coordinate behavioral, primary, and tertiary health care for these people—most of them Medicaid beneficiaries or eligible for Medicaid—and is expected to improve their capacity to self-manage, reducing emergency room and hospital admissions, and lowering cost, while improving health and quality of life and with estimated savings of $5 million over three years. Over the three-year period, the Center for Health Care Services’ program will hire and train an estimated 22 health care workers, to include two health navigators, ten community guest specialists, and six certified peers support specialists. The care team will provide peer support to generate readiness for change, build motivation, and sustain compliance.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards/Center-For-Health-Care-Services.html,5
Peacehealth Ketchikan Medical Center,"Health Care Innovation Awards, HCIA, Alaska, AK, primary care, rural, preventive care, program coordinator, nurse practitioner, care coordinator, Peacehealth Ketchikan Medical Center, CMS Region 10",Better health through coordinated care: a plan for southeast Alaska,Alaska,"3,169,386.00","3,384,627.00","PeaceHealth Ketchikan Medical Center, partnering with PeaceHealth Medical Group in Ketchikan, AK and Craig, AK continues to use Health Care Innovation Awards funding to improve primary care coordination for patients with chronic disease in rural southeast Alaska. One nurse practitioner and four care coordinators are extending the clinical team’s reach and have coordinated care for an estimated 600 patients through more than 1000 face-to-face visits and phone calls. Preventative intervention with patients through follow-up phone calls after discharge from hospital have resulted in increased access to the clinic and decreased referrals to the emergency room due to lack of appointment slots. Additional staff, working in various capacities, works to ensure patients are being tracked properly and clinical staff are properly trained to understand medical records and reports. The project’s RN clinical educator works with office staff to increase competencies and is developing a formal educational track for medical office assistants with the University of Alaska in Ketchikan. The funding permits PeaceHealth to employ eight employees, train an estimated 28 existing employees, and increase access to its clinic by 20%.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards/Peacehealth-Ketchikan-Medical-Center.html,6
University Emergency Medical Services,"Health Care Innovation Awards, HCIA, New York, NY, primary care, high-risk populations, ER, Medicare, Medicaid, hospitalizations, University Emergency Medical Services, CMS Region 2",Better health through social and health care linkages beyond the emergency department,New York,"2,570,749.00","6,100,000.00","University Emergency Medical Services, a physician practice plan affiliated with the Department of Emergency Medicine at the University at Buffalo, and in partnership with Erie County Medical Center (ECMC), is deploying community health workers to work with frequent emergency department (ED) utilizers and meaningfully link them to primary care, social and health services, education, and provide health coaching.  The program targets 2,300 Medicare and Medicaid beneficiaries who have had two or more emergency department visits over 12 months in urban Buffalo, New York. Patients are recruited in the emergency department and referred by the ECMC Primary Care Clinics and other hospital affiliated programs. These patients account for 29% of all ED patients and 85% of all hospital inpatients are admitted through the hospital’s emergency department.  Health coaching and improved access to primary care is expected to result in lower ER utilization, reduced hospital admissions, and improved health with estimated savings of approximately $6.1 million.  Over the three year period, University Emergency Medical Service's program will train an estimated 13 health care workers and create an estimated 13 new jobs.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards/University-Emergency-Medical-Services.html,7
Christiana Care Health System,"Health Care Innovation Awards, HCIA, Delaware, DE, Maryland, MD, New Jersey, NJ, Pennsylvania, PA, heart disease, post-myocardial infarction, revascularization, Medicare, Medicaid, health information exchange, cardiac care, ER, hospital readmissions, care transitions, care managers, pharmacists, social workers, Christiana Care Health System, CMS Region 3, CMS Region 2",Bridging the Divides,"Delaware, Maryland, New Jersey, Pennsylvania","9,999,999.00","376,327.00","Christiana Care Health System, serving the state of Delaware, received an award to create and test a system that uses a ”care management hub” and combines information technology and carefully coordinated care management to improve care for post-myocardial infarction and revascularization patients, the majority of them Medicare or Medicaid beneficiaries. Christiana Care will integrate statewide health information exchange data with cardiac care registries from the American College of Cardiology and the Society of Thoracic Surgeons, enabling more effective care/case management through near real time visibility of patient care events, lab results, and testing. This will decrease emergency room visits and avoidable readmissions to hospitals and improve interventions and care transitions. The investments made by this grant are expected to generate cost savings beyond the three year grant period. Over a three-year period, Christiana Care Health System will create an estimated 16 health care jobs, including positions for nurse care managers, pharmacists, and social workers.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards/Christiana-Care-Health-System.html,8
University of North Texas Health Science Center,"Health Care Innovation Awards, HCIA, Colorado, CO, Florida, FL, Kansas, KS, Texas, TX, evidenced-based, dementia, information technology, nurses, hospitalizations, care transitions, University of North Texas Health Science Center, CMS Region 8, CMS Region 4, CMS Region 7, CMS Region 6",Brookdale Senior Living (BSL) Transitions of Care Program,"Colorado, Florida, Kansas, Texas","7,329,714.00","9,729,702.00","The University of North Texas Health Science Center (UNTHSC), in partnership with Brookdale Senior Living (BSL), is developing and testing the Brookdale Senior Living Transitions of Care Program, which is based on an evidenced-based assessment tool called Interventions to Reduce Acute Care Transfers (INTERACT) for residents living in independent living, assisted living and skilled nursing facilities in Florida, Colorado, Kansas and Texas. In addition, community dwelling older adults who receive BSL home health services will be included in the Transitions of Care Program. Over the course of the award the program will expand to other states where BSL communities are located. The program will employ clinical nurse leaders (CNLs) to act as program managers. CNLs will train care transition nurses and other staff on the use of INTERACT and health information technology resources to help them identify, assess, and manage residents' clinical conditions to reduce preventable hospital admissions and readmissions. The goal of the program is to prevent the progress of disease, thereby reducing complications, improving care, and reducing the rate of avoidable hospital admissions for older adults. Over a three-year period, the Brookdale Senior Living Transitions of Care program will train an estimated 10,926 workers and create an estimated 97 jobs for clinical nurse leaders and other health care team members.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards/University-Of-North-Texas-Health-Science-Center.html,9
